timestamp,value
1685022619.349221,"3,2595"
1685022620.358585,"3,2986"
1685022621.365297,"3,2141"
1685022622.372885,"3,2232"
1685022623.380808,"3,235"
1685022624.388503,"3,2603"
1685022625.436915,"3,2244"
1685022626.444233,"3,2607"
1685022627.451731,"3,242"
1685022628.459247,"3,2438"
1685022629.465828,"3,2627"
1685022630.474511,"3,2378"
1685022631.483735,"3,2"
1685022632.490376,"3,1819"
1685022633.548424,"3,2326"
1685022634.555986,"3,1826"
1685022635.562537,"3,2332"
1685022636.570128,"3,2309"
1685022637.577592,"3,2061"
1685022638.586445,"3,193"
,"3,23112"
