timestamp,value
1685022754.351105,3.2241
1685022755.358213,3.2378
1685022756.365035,3.2262
1685022757.37326,3.2154
1685022758.379965,3.2521
1685022759.388438,3.2522
1685022760.438401,3.2169
1685022761.446194,3.2363
1685022762.452841,3.2265
1685022763.459855,3.2634
1685022764.466637,3.2616
1685022765.473464,3.2122
1685022766.480422,3.24
1685022767.488503,3.2402
1685022768.550609,3.2528
1685022769.557257,3.2436
1685022770.564375,3.2423
1685022771.570903,3.2206
1685022772.580569,3.2441
1685022773.589109,3.2492
1685022774.638485,3.2379
1685022775.647173,3.2535
1685022776.6542,3.2284
1685022777.660757,3.2736
1685022778.667441,3.2181
1685022779.674273,3.2116
1685022780.681647,3.2059
1685022781.688752,3.2511
1685022782.751108,3.2266
1685022783.758829,3.2341
1685022784.765494,3.219
1685022785.772684,3.2191
1685022786.780302,3.2323
1685022787.789406,3.2268
1685022788.838957,3.2766
1685022789.844972,3.2727
1685022790.851466,3.2318
1685022791.858017,3.24
1685022792.868966,3.256
1685022793.875523,3.2271
1685022794.882522,3.2141
1685022795.889913,3.2496
1685022796.951766,3.2339
1685022797.958317,3.25
1685022798.965088,3.2253
1685022799.972532,3.2556
1685022800.980532,3.2564
1685022801.98908,3.2036
1685022803.039679,3.249
1685022804.046311,3.2483
1685022805.052722,3.2133
1685022806.059346,3.2111
1685022807.065835,3.2602
1685022808.072379,3.2169
1685022809.080313,3.2776
1685022810.08943,3.227
1685022811.151555,3.2465
1685022812.158755,3.2622
1685022813.165196,3.2392
1685022814.171822,3.2476
1685022815.180402,3.2381
1685022816.189381,3.2814
1685022817.239307,3.2503
1685022818.246108,3.2623
1685022819.253144,3.2599
1685022820.25997,3.2564
1685022821.267166,3.254
1685022822.274792,3.2248
1685022823.28145,3.2077
1685022824.289476,3.2431
1685022825.352306,3.1691
1685022826.358942,3.2432
1685022827.366766,3.2122
1685022828.373717,3.1958
1685022829.380635,3.1998
1685022830.38987,3.2262
1685022831.439386,3.2661
1685022832.446639,3.2487
1685022833.453082,3.204
1685022834.459694,3.214
1685022835.46734,3.2644
1685022836.474087,3.2863
1685022837.480864,3.2482
1685022838.489778,3.2649
1685022839.551707,3.2608
1685022840.55908,3.2318
1685022841.565788,3.2294
1685022842.57248,3.3116
1685022843.580831,3.2632
1685022844.590144,3.2435
1685022845.639797,3.2583
1685022846.646348,3.252
1685022847.653056,3.2396
1685022848.659593,3.2504
1685022849.665958,3.2174
1685022850.678696,3.2442
1685022851.685106,3.2689
1685022852.691756,3.2324
1685022853.752472,3.1967
1685022854.759066,3.2357
1685022855.765849,3.2376
1685022856.773747,3.2058
1685022857.78099,3.2217
1685022858.790259,3.2475
1685022859.839829,3.26
1685022860.848049,3.2475
1685022861.854392,3.231
1685022862.860881,3.2342
1685022863.867502,3.2644
1685022864.874188,3.2142
1685022865.881078,3.2119
1685022866.890535,3.2108
1685022867.952697,3.1976
1685022868.961156,3.2372
1685022869.968462,3.2268
1685022870.976129,3.2299
1685022871.982872,3.2637
1685022872.990897,3.2856
1685022874.040772,3.22
1685022875.047707,3.2322
1685022876.054618,3.2545
1685022877.061074,3.2547
1685022878.067748,3.267
1685022879.074606,3.2443
1685022880.081667,3.226
1685022881.090591,3.2366
1685022882.153251,3.2367
1685022883.160702,3.2461
1685022884.167098,3.2349
1685022885.173422,3.2295
1685022886.181659,3.2698
1685022887.190584,3.2258
1685022888.240479,3.3002
1685022889.24708,3.267
1685022890.253767,3.2619
1685022891.260701,3.2697
1685022892.267394,3.224
1685022893.274842,3.2328
1685022894.282119,3.233
1685022895.29206,3.2247
1685022896.353893,3.2222
1685022897.361074,3.2131
1685022898.367511,3.2468
1685022899.374413,3.192
1685022900.381862,3.2544
1685022901.391798,3.2368
1685022902.440859,3.3204
1685022903.44732,3.1917
1685022904.454185,3.2579
1685022905.461271,3.271
1685022906.468245,3.2141
1685022907.474644,3.2457
1685022908.482042,3.2598
1685022909.490997,3.2788
1685022910.554269,3.2358
1685022911.56134,3.2003
1685022912.567813,3.2025
1685022913.574564,3.2113
1685022914.58234,3.2117
1685022915.591285,3.2372
1685022916.641331,3.2466
